#A	B
0.6344	0.0025
0.8227	0.2678
1.1079	0.3751
1.4511	0.1814
1.0178	0.1768
0.8410	0.2232
0.3360	0.2829
0.9989	0.4902
0.9236	0.2622
1.7825	0.3106
0.9021	0.0039
0.9271	0.2928
0.9658	0.0644
0.9163	0.0450
1.7890	0.3747
0.6910	0.3838
1.1763	0.0650
1.0694	0.2073
0.8475	0.2315
0.2714	0.3017
1.2483	0.1248
0.5583	0.1035
0.2079	0.2049
0.6512	0.0573
1.4460	0.0771
0.3422	0.0328
1.3528	0.0655
0.6479	0.1907
0.7816	0.3951
0.2880	0.4859
0.3424	0.0656
1.3355	0.3980
1.1156	0.2700
0.4428	0.4318
0.2710	0.2759
1.1732	0.0342
1.4576	0.1335
1.7544	0.1757
0.9046	0.2144
1.6540	0.4526
1.1499	0.0763
0.9332	0.1465
0.6219	0.3900
0.3785	0.1711
1.4454	0.4719
1.6260	0.1815
1.0773	0.4372
0.4481	0.1688
1.5660	0.1765
0.5160	0.1931
1.6947	0.0491
1.0148	0.1583
0.3940	0.1862
0.6927	0.1375
0.4201	0.1879
1.7002	0.4164
0.6956	0.4582
0.7769	0.2423
1.5682	0.2164
0.7403	0.3576
1.0929	0.0185
1.1673	0.0372
