# Document with the sample ids, reads ids, source of the bacteria, program under the sample has been extracted, microorganism
## Data from Belgium
	sample_ID	reads_ID	Source	Origin	Microorganism
0	28714	28714_R1_001.trim.fq.gz	Human	Clinical	E.faecium
1	44888	44888_R1_001.trim.fq.gz	Human	Clinical	E.faecium
2	9123212	09123212_R1_001.trim.fq.gz	Human	Clinical	E.faecium
3	VHF-S84	VHF-S84_R1_001.trim.fq.gz	Human	Clinical	E.faecium
4	20140101	20140101_R1_001.trim.fq.gz	Human	Clinical	E.faecium
5	1006-5783	1006-5783_R1_001.trim.fq.gz	Human	Clinical	E.faecium
6	1205-1079	1205-1079_R1_001.trim.fq.gz	Human	Clinical	E.faecium
7	20120186	20120186_R1_001.trim.fq.gz	Human	Clinical	E.faecium
8	20120189	20120189_R1_001.trim.fq.gz	Human	Clinical	E.faecium
9	20120195	20120195_R1_001.trim.fq.gz	Human	Clinical	E.faecium
10	20130090	20130090_R1_001.trim.fq.gz	Human	Clinical	E.faecium
11	20130121	20130121_R1_001.trim.fq.gz	Human	Clinical	E.faecium
12	28362366	28362366_R1_001.trim.fq.gz	Human	Clinical	E.faecium
13	53606-07	53606-07_R1_001.trim.fq.gz	Human	Clinical	E.faecium
14	763345	763345_R1_001.trim.fq.gz	Human	Clinical	E.faecium
15	85512	85512_R1_001.trim.fq.gz	Human	Clinical	E.faecium
16	HC-1003-17E27	HC-1003-17E27_R1_001.trim.fq.gz	Human	Clinical	E.faecium
17	MI-1104-5047	MI-1104-5047_R1_001.trim.fq.gz	Human	Clinical	E.faecium
18	MI-1104-5069	MI-1104-5069_R1_001.trim.fq.gz	Human	Clinical	E.faecium
19	MI-1112-3472	MI-1112-3472_R1_001.trim.fq.gz	Human	Clinical	E.faecium
20	112-011916	112-011916_R1_001.trim.fq.gz	Human	Clinical	E.faecium
21	42642410-9100	42642410-9100_R1_001.trim.fq.gz	Human	Clinical	E.faecium
22	20140020	20140020_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
23	20140085	20140085_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
24	20140096	20140096_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
25	20140102	20140102_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
26	20140106	20140106_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
27	20140132	20140132_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
28	20140169	20140169_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
29	20140209	20140209_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
30	20140210	20140210_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
31	20140243	20140243_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
32	20140306	20140306_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
33	20150062	20150062_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
34	20150190	20150190_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
35	20150244	20150244_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
36	20150344	20150344_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
37	20150405	20150405_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
38	20150473	20150473_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
39	20150477	20150477_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
40	20150481	20150481_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
41	20150578	20150578_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
42	20150585	20150585_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
43	20160008	20160008_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
44	20160023	20160023_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
45	20160060	20160060_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
46	20160213	20160213_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
47	20160246	20160246_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
48	20160255	20160255_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
49	20160279	20160279_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
50	20160338	20160338_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
51	20160360	20160360_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
52	030302-135	030302-135_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
53	030712-185	030712-185_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
54	17169	17169_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
55	294683-85	294683-85_R1_001.trim.fq.gz	Animal	Surveillance	E.faecium
56	SE_084_N_D	SE_084_N_D_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
57	SE_1582_N_T4	SE_1582_N_T4_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
58	SE_048_N_T3	SE_048_N_T3_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
59	SE_1247_N_T3	SE_1247_N_T3_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
60	SE_1262_N_T4	SE_1262_N_T4_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
61	SE_153_N_T2	SE_153_N_T2_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
62	SE_1530_N_D	SE_1530_N_D_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
63	SE_1568_N_D	SE_1568_N_D_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
64	SE_1568_N_T2	SE_1568_N_T2_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
65	SE_164_N_D	SE_164_N_D_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
66	SE_1859_N_D	SE_1859_N_D_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
