# Document with the sample ids and the antimicrobials that have been tested with
sample_ID	ampicillin	cefoxitin	ciprofloxacin	clindamycin	erythromycin	gentamicin	linezolid	tetracycline	vancomycin
28714	256								4.0
44888	256								1.5
9123212	512					4			16.0
VHF-S84	512					16			512.0
20140101	256						8		256.0
1006-5783	32								12.0
1205-1079	256								256.0
20120186	256								256.0
20120189	256								256.0
20120195	256								256.0
20130090	256								256.0
20130121	256								256.0
28362366	256								48.0
53606-07	256								128.0
763345	256								12.0
85512	256								256.0
HC-1003-17E27	256								256.0
MI-1104-5047	256								256.0
MI-1104-5069	0.094								256.0
MI-1112-3472	256								256.0
112-011916	256					1024			1.5
42642410-9100	512					64			512.0
20140020	256						4		256.0
20140085	256						2		256.0
20140096	256						4		256.0
20140102	256						4		256.0
20140106	256						4		256.0
20140132	256						4		8.0
20140169	256						1		8.0
20140209	256						2		256.0
20140210	256						2		256.0
20140243	256						1		256.0
20140306	256						2		256.0
20150062	256						1		256.0
20150190	256						4		1000.0
20150244	256						2		256.0
20150344	256						4		16.0
20150405	256						2		256.0
20150473	256						2		256.0
20150477	256						2		256.0
20150481	256						2		256.0
20150578	256						2		256.0
20150585	256						2		256.0
20160008	256						2		256.0
20160023	256						2		256.0
20160060	256						2		256.0
20160213	256						1.5		256.0
20160246	256						2		256.0
20160255	256						1		256.0
20160279	256						4		256.0
20160338	256						2		256.0
20160360	256						4		256.0
030302-135	128		256			256	8		512.0
030712-185	64		2			512	4		256.0
17169	128		128			64	4		128.0
294683-85	256		64			512	2		256.0
SE_084_N_D		256	32	256	256	32	1.5	96	1.0
SE_1582_N_T4		256	32	256	256	48	2	96	0.5
SE_048_N_T3		256	32	0.064	256	48	2	96	1.0
SE_1247_N_T3		256	32	0.064	0.19	32	2	1	1.0
SE_1262_N_T4		256	32	0.064	0.19	32	2	1	1.0
SE_153_N_T2		256	32	0.125	0.19	32	1.5	1	1.0
SE_1530_N_D		256	32	0.094	0.25	32	2	1	0.5
SE_1568_N_D		256	32	0.064	0.19	32	1.5	1	0.5
SE_1568_N_T2		256	32	0.094	0.19	32	1.5	1	0.5
SE_164_N_D		256	32	256	256	32	1.5	1	1.0
SE_1859_N_D		256	32	0.094	0.19	48	2	1	0.5
SE_1859_N_T2		256	32	0.125	0.25	32	2	1	0.5
SE_1884_BAL		256	32	0.064	0.19	48	2	1	0.5
SE_1884_N_D		256	32	0.064	0.19	32	2	1	0.38
SE_1884_N_T4		256	32	0.094	0.25	48	2	1	0.5
SE_1899_N_A		256	32	0.064	0.19	32	1.5	1	0.5
SE_1899_N_D		256	32	0.064	0.19	32	2	1	0.5
SE_1921_N_D		256	32	256	256	32	2	1	0.75
SE_065_N_T1		256	32	256	256	32	1.5	96	0.5
SE_065_N_T2		256	32	256	256	32	1.5	96	0.5
SE_070_N_T1		256	32	256	256	24	1.5	96	0.38
SE_070_N_T4D		256	32	256	256	24	1.5	32	0.38
SE_084_N_A		256	32	256	256	24	1.5	96	0.75
SE_1014_N_T1		256	32	256	256	32	2	32	1.0
SE_1015_N_T3		256	32	256	256	48	1.5	96	1.0
SE_1153_N_T2		256	32	0.064	0.19	64	1.5	1.5	1.5
SE_1153_N_T4		256	32	0.064	0.19	64	1	1.5	1.5
SE_1262_N_D		256	32	0.125	0.19	32	2	1.5	0.5
SE_1262_N_T1		256	32	0.064	0.19	32	3	1.5	1.0
SE_1262_N_T2		256	32	0.064	0.19	64	1.5	1.5	1.0
SE_135_N_T1		256	32	256	256	48	1.5	96	0.5
SE_135_N_T2		256	32	0.094	0.19	32	2	64	0.5
SE_1519_N_T2		256	32	0.064	0.25	48	2	128	0.5
SE_1519_N_T4		256	32	0.125	0.25	32	1.5	192	0.38
SE_153_N_T4		256	32	0.125	0.19	48	1	1.5	1.0
SE_1530_N_T2		256	32	0.094	0.25	32	2	1.5	0.5
SE_1582_BAL_1		256	32	256	256	32	2	96	0.38
SE_164_N_T3		256	32	256	256	32	1.5	1.5	1.0
SE_178_N_D		256	32	0.125	0.19	48	2	96	1.0
SE_1880_N_D		256	32	256	256	32	1.5	128	0.5
SE_1880_N_T4		256	32	256	256	48	1.5	192	0.5
SE_1890_BAL		256	32	256	256	32	2	96	0.38
SE_1890_N_D		256	32	256	256	32	1.5	96	0.38
SE_1890_N_T3		256	32	256	256	32	1.5	96	0.38
SE_1895_N_D		256	32	0.094	0.19	48	1.5	128	0.5
SE_1895_N		256	32	0.125	0.19	32	2	192	0.38
SE_1895_N_T2		256	32	0.064	0.19	48	1.5	256	0.38
SE_1921_N_T2		256	32	256	256	48	2	1.5	1.0
SE_2011_N_D		256	32	256	256	32	1.5	128	0.5
SE_2011_N_T3		256	32	256	256	32	1.5	128	0.5
SE_2054_N		256	32	256	256	24	2	0.5	1.5
SE_2054_N3		256	32	256	256	24	2	0.75	1.5
SE_232_N_T2		256	32	0.064	0.19	48	1	192	1.0
SE_232_N_T3D		256	32	0.125	0.25	32	1.5	128	0.75
SE_537_N_A		256	32	0.064	0.19	48	2	32	0.38
SE_537_N_D		256	32	256	256	32	1.5	96	1.0
SE_709_N_T2		256	32	256	256	32	1.5	128	0.5
SE_709_N_T3D		256	32	256	256	32	1.5	192	1.0
SE_749_N_T2		256	32	256	256	32	1.5	192	1.0
SE_752_N_D		256	32	256	256	32	1.5	128	1.0
SE_752_N_T1		256	32	256	256	32	2	128	1.0
SE_761_N_T2		256	32	256	256	32	1.5	256	1.0
SE_861_N_T0		256	32	0.125	0.25	32	2	64	0.5
