# Document with the sample ids, reads ids, source of the bacteria, program under the sample has been extracted, microorganism
## Data from Germany
	sample_ID	reads_ID	Source	Origin	Microorganism
0	GC1	GC1_R1.trim.fq.gz	Animal	Surveillance	E.coli
1	GC10	GC10_R1.trim.fq.gz	Animal	Surveillance	E.coli
2	GC100	GC100_R1.trim.fq.gz	Animal	Surveillance	E.coli
3	GC101	GC101_R1.trim.fq.gz	Animal	Surveillance	E.coli
4	GC102	GC102_R1.trim.fq.gz	Animal	Surveillance	E.coli
5	GC103	GC103_R1.trim.fq.gz	Animal	Surveillance	E.coli
6	GC104	GC104_R1.trim.fq.gz	Animal	Surveillance	E.coli
7	GC105	GC105_R1.trim.fq.gz	Animal	Surveillance	E.coli
8	GC106	GC106_R1.trim.fq.gz	Animal	Surveillance	E.coli
9	GC107	GC107_R1.trim.fq.gz	Animal	Surveillance	E.coli
10	GC108	GC108_R1.trim.fq.gz	Animal	Surveillance	E.coli
11	GC109	GC109_R1.trim.fq.gz	Animal	Surveillance	E.coli
12	GC11	GC11_R1.trim.fq.gz	Animal	Surveillance	E.coli
13	GC110	GC110_R1.trim.fq.gz	Animal	Surveillance	E.coli
14	GC111	GC111_R1.trim.fq.gz	Animal	Surveillance	E.coli
15	GC112	GC112_R1.trim.fq.gz	Animal	Surveillance	E.coli
16	GC113	GC113_R1.trim.fq.gz	Animal	Surveillance	E.coli
17	GC114	GC114_R1.trim.fq.gz	Animal	Surveillance	E.coli
18	GC115	GC115_R1.trim.fq.gz	Animal	Surveillance	E.coli
19	GC116	GC116_R1.trim.fq.gz	Animal	Surveillance	E.coli
20	GC117	GC117_R1.trim.fq.gz	Animal	Surveillance	E.coli
21	GC118	GC118_R1.trim.fq.gz	Animal	Surveillance	E.coli
22	GC119	GC119_R1.trim.fq.gz	Animal	Surveillance	E.coli
23	GC12	GC12_R1.trim.fq.gz	Animal	Surveillance	E.coli
24	GC120	GC120_R1.trim.fq.gz	Animal	Surveillance	E.coli
25	GC121	GC121_R1.trim.fq.gz	Animal	Surveillance	E.coli
26	GC122	GC122_R1.trim.fq.gz	Animal	Surveillance	E.coli
27	GC123	GC123_R1.trim.fq.gz	Animal	Surveillance	E.coli
28	GC124	GC124_R1.trim.fq.gz	Animal	Surveillance	E.coli
29	GC125	GC125_R1.trim.fq.gz	Animal	Surveillance	E.coli
30	GC126	GC126_R1.trim.fq.gz	Animal	Surveillance	E.coli
31	GC127	GC127_R1.trim.fq.gz	Animal	Surveillance	E.coli
32	GC128	GC128_R1.trim.fq.gz	Animal	Surveillance	E.coli
33	GC129	GC129_R1.trim.fq.gz	Animal	Surveillance	E.coli
34	GC13	GC13_R1.trim.fq.gz	Animal	Surveillance	E.coli
35	GC130	GC130_R1.trim.fq.gz	Animal	Surveillance	E.coli
36	GC131	GC131_R1.trim.fq.gz	Animal	Surveillance	E.coli
37	GC132	GC132_R1.trim.fq.gz	Animal	Surveillance	E.coli
38	GC133	GC133_R1.trim.fq.gz	Animal	Surveillance	E.coli
39	GC134	GC134_R1.trim.fq.gz	Animal	Surveillance	E.coli
40	GC135	GC135_R1.trim.fq.gz	Animal	Surveillance	E.coli
41	GC136	GC136_R1.trim.fq.gz	Animal	Surveillance	E.coli
42	GC137	GC137_R1.trim.fq.gz	Animal	Surveillance	E.coli
43	GC138	GC138_R1.trim.fq.gz	Animal	Surveillance	E.coli
44	GC139	GC139_R1.trim.fq.gz	Animal	Surveillance	E.coli
45	GC14	GC14_R1.trim.fq.gz	Animal	Surveillance	E.coli
46	GC140	GC140_R1.trim.fq.gz	Animal	Surveillance	E.coli
47	GC142	GC142_R1.trim.fq.gz	Animal	Surveillance	E.coli
48	GC143	GC143_R1.trim.fq.gz	Animal	Surveillance	E.coli
49	GC144	GC144_R1.trim.fq.gz	Animal	Surveillance	E.coli
50	GC145	GC145_R1.trim.fq.gz	Animal	Surveillance	E.coli
51	GC146	GC146_R1.trim.fq.gz	Animal	Surveillance	E.coli
52	GC147	GC147_R1.trim.fq.gz	Animal	Surveillance	E.coli
53	GC148	GC148_R1.trim.fq.gz	Animal	Surveillance	E.coli
54	GC149	GC149_R1.trim.fq.gz	Animal	Surveillance	E.coli
55	GC15	GC15_R1.trim.fq.gz	Animal	Surveillance	E.coli
56	GC150	GC150_R1.trim.fq.gz	Animal	Surveillance	E.coli
57	GC151	GC151_R1.trim.fq.gz	Animal	Surveillance	E.coli
58	GC152	GC152_R1.trim.fq.gz	Animal	Surveillance	E.coli
59	GC153	GC153_R1.trim.fq.gz	Animal	Surveillance	E.coli
60	GC154	GC154_R1.trim.fq.gz	Animal	Surveillance	E.coli
61	GC155	GC155_R1.trim.fq.gz	Animal	Surveillance	E.coli
