# Document with the sample ids, reads ids, source of the bacteria, program under the sample has been extracted, microorganism
## Data from Denmark
	sample_ID	reads_ID	Source	Origin	Microorganism
0	821-PRJ1111-Escherischia-coli-360-16028160_S2	DTU2017-821-PRJ1111-Escherischia-coli-360-16028160_S2_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
1	849-PRJ1111-Escherischia-coli-360-16048387_S30	DTU2017-849-PRJ1111-Escherischia-coli-360-16048387_S30_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
2	776-PRJ1111-Escherischia-coli-528-16027655_S8	DTU2017-776-PRJ1111-Escherischia-coli-528-16027655_S8_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
3	780-PRJ1111-Escherischia-coli-528-16027662_S12	DTU2017-780-PRJ1111-Escherischia-coli-528-16027662_S12_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
4	782-PRJ1111-Escherischia-coli-528-16029133_S14	DTU2017-782-PRJ1111-Escherischia-coli-528-16029133_S14_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
5	787-PRJ1111-Escherischia-coli-528-16036861_S19	DTU2017-787-PRJ1111-Escherischia-coli-528-16036861_S19_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
6	788-PRJ1111-Escherischia-coli-528-16036862_S20	DTU2017-788-PRJ1111-Escherischia-coli-528-16036862_S20_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
7	793-PRJ1111-Escherischia-coli-528-16041472_S25	DTU2017-793-PRJ1111-Escherischia-coli-528-16041472_S25_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
8	794-PRJ1111-Escherischia-coli-528-16041474_S26	DTU2017-794-PRJ1111-Escherischia-coli-528-16041474_S26_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
9	796-PRJ1111-Escherischia-coli-528-16053324_S28	DTU2017-796-PRJ1111-Escherischia-coli-528-16053324_S28_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
10	797-PRJ1111-Escherischia-coli-528-16053325_S29	DTU2017-797-PRJ1111-Escherischia-coli-528-16053325_S29_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
