# Document with the sample ids, reads ids, source of the bacteria, program under the sample has been extracted, microorganism
## Data from Birmingham, UK
## Confidential
,sample_ID,reads_ID,Source,Origin,Microorganism
0,MSG50-C16,MSG50-C16_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
1,RB20_S8,RB20_S8_L001_R1_001.trim.fq.gz,Food,Surveillance,E.coli
2,MSG43-C17,MSG43-C17_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
3,MSG07-C02,MSG07-C02_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
4,RB11_S6,RB11_S6_L001_R1_001.trim.fq.gz,Food,Surveillance,E.coli
5,RB15_S7,RB15_S7_L001_R1_001.trim.fq.gz,Food,Surveillance,E.coli
6,RB2_S3,RB2_S3_L001_R1_001.trim.fq.gz,Food,Surveillance,E.coli
7,RB32_S11,RB32_S11_L001_R1_001.trim.fq.gz,Food,Surveillance,E.coli
8,RB5_S4,RB5_S4_L001_R1_001.trim.fq.gz,Food,Surveillance,E.coli
9,RB8_S5,RB8_S5_L001_R1_001.trim.fq.gz,Food,Surveillance,E.coli
10,MSG04-C10,MSG04-C10_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
11,MSG41-C07,MSG41-C07_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
12,MSG44-C06,MSG44-C06_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
13,MSG53-C03,MSG53-C03_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
14,E4_S1,E4_S1_L001_R1.trim.fq.gz,Food,Surveillance,E.coli
15,MSG01-C02,MSG01-C02_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
16,MSG01-C06,MSG01-C06_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
17,MSG01-C08,MSG01-C08_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
18,MSG02-C05,MSG02-C05_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
19,MSG02-C13,MSG02-C13_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
20,MSG03-C04,MSG03-C04_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
21,MSG04-C13,MSG04-C13_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
22,MSG06-C03,MSG06-C03_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
23,MSG07-C13,MSG07-C13_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
24,MSG08-C07,MSG08-C07_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
25,MSG08-C09,MSG08-C09_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
26,MSG10-C08,MSG10-C08_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
27,MSG10-C10,MSG10-C10_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
28,MSG11-C07,MSG11-C07_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
29,MSG11-C14,MSG11-C14_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
30,MSG12-C07,MSG12-C07_R1_001.trim.fq.gz,Animal,Surveillance,E.coli
