# Document with the sample ids and the antimicrobials that have been tested with
sample_ID,ampicillin,cefotaxime,ciprofloxacin,colistin,gentamicin,imipenem,meropenem,nalidixic acid,tetracycline
MSG50-C16,MIC: 128.0,MIC: 0.125,MIC: 0.125,MIC: 1.0,MIC: 8.0,MIC: 0.06,MIC: 0.015,MIC: 32.0,MIC: 128.0
RB20_S8,MIC: 100000.0,MIC: 0.0,MIC: 0.0,MIC: 100000.0,MIC: 100000.0,MIC: 0.0,MIC: 0.0,MIC: 0.0,MIC: 100000.0
MSG43-C17,MIC: 128.0,MIC: 0.03,MIC: 0.5,MIC: 1.0,MIC: 0.25,MIC: 0.06,MIC: 0.015,MIC: 4.0,MIC: 128.0
MSG07-C02,MIC: 128.0,MIC: 2.0,MIC: 0.015,MIC: 0.5,MIC: 0.25,MIC: 0.03,MIC: 0.008,MIC: 32.0,MIC: 1.0
RB11_S6,MIC: 100000.0,MIC: 0.0,MIC: 100000.0,MIC: 100000.0,MIC: 100000.0,MIC: 0.0,MIC: 0.0,MIC: 0.0,MIC: 100000.0
RB15_S7,MIC: 100000.0,MIC: 0.0,MIC: 100000.0,MIC: 100000.0,MIC: 100000.0,MIC: 0.0,MIC: 0.0,MIC: 0.0,MIC: 100000.0
RB2_S3,MIC: 100000.0,MIC: 0.0,MIC: 100000.0,MIC: 100000.0,MIC: 100000.0,MIC: 0.0,MIC: 0.0,MIC: 0.0,MIC: 100000.0
RB32_S11,MIC: 100000.0,MIC: 0.0,MIC: 100000.0,MIC: 100000.0,MIC: 100000.0,MIC: 0.0,MIC: 0.0,MIC: 0.0,MIC: 100000.0
RB5_S4,MIC: 100000.0,MIC: 0.0,MIC: 100000.0,MIC: 100000.0,MIC: 100000.0,MIC: 0.0,MIC: 0.0,MIC: 0.0,MIC: 100000.0
RB8_S5,MIC: 100000.0,MIC: 100000.0,MIC: 100000.0,MIC: 100000.0,MIC: 100000.0,MIC: 0.0,MIC: 0.0,MIC: 0.0,MIC: 100000.0
MSG04-C10,MIC: 128.0,MIC: 0.015,MIC: 4.0,MIC: 1.0,MIC: 4.0,MIC: 0.03,MIC: 0.008,MIC: 2.0,MIC: 128.0
MSG41-C07,MIC: 128.0,MIC: 0.06,MIC: 0.5,MIC: 0.25,MIC: 0.5,MIC: 0.03,MIC: 0.008,MIC: 16.0,MIC: 64.0
MSG44-C06,MIC: 1.0,MIC: 0.03,MIC: 0.008,MIC: 0.5,MIC: 0.25,MIC: 0.015,MIC: 0.008,MIC: 2.0,MIC: 8.0
MSG53-C03,MIC: 128.0,MIC: 4.0,MIC: 0.015,MIC: 1.0,MIC: 1.0,MIC: 0.06,MIC: 0.015,MIC: 4.0,MIC: 2.0
E4_S1,MIC: 64.0,MIC: 16.0,MIC: 8.0,MIC: 8.0,MIC: 16.0,,MIC: <0.03,MIC: 128.0,MIC: 64.0
MSG01-C02,MIC: 128.0,MIC: 16.0,MIC: 0.015,MIC: 1.0,MIC: 0.5,MIC: 0.06,MIC: 0.015,MIC: 4.0,MIC: 64.0
MSG01-C06,MIC: 128.0,MIC: 0.06,MIC: 8.0,MIC: 1.0,MIC: 0.5,MIC: 0.06,MIC: 0.015,MIC: 128.0,MIC: 128.0
MSG01-C08,MIC: 128.0,MIC: 0.06,MIC: 0.25,MIC: 2.0,MIC: 0.5,MIC: 0.06,MIC: 0.03,MIC: 128.0,MIC: 1.0
MSG02-C05,MIC: 128.0,MIC: 0.03,MIC: 0.25,MIC: 1.0,MIC: 8.0,MIC: 0.03,MIC: 0.015,MIC: 16.0,MIC: 128.0
MSG02-C13,MIC: 128.0,MIC: 0.03,MIC: 0.25,MIC: 1.0,MIC: 16.0,MIC: 0.03,MIC: 0.008,MIC: 16.0,MIC: 128.0
MSG03-C04,MIC: 128.0,MIC: 0.06,MIC: 8.0,MIC: 2.0,MIC: 0.25,MIC: 0.03,MIC: 0.015,MIC: 128.0,MIC: 128.0
MSG04-C13,MIC: 4.0,MIC: 0.03,MIC: 0.008,MIC: 1.0,MIC: 0.25,MIC: 0.06,MIC: 0.008,MIC: 4.0,MIC: 1.0
MSG06-C03,MIC: 128.0,MIC: 0.06,MIC: 0.25,MIC: 1.0,MIC: 0.25,MIC: 0.06,MIC: 0.004,MIC: 128.0,MIC: 128.0
