# Document with the sample ids, reads ids, source of the bacteria, program under the sample has been extracted, microorganism
## Data from Conneticut
## Confidential
,sample_ID,reads_ID,Source,Origin,Microorganism
0,SRR3933039,SRR3933039_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
1,SRR3295834,SRR3295834_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
2,SRR1783160,SRR1783160_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
3,SRR2407621,SRR2407621_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
4,SRR2407719,SRR2407719_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
5,SRR3295933,SRR3295933_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
6,SRR3932982,SRR3932982_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
7,SRR3932995,SRR3932995_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
8,SRR1783204,SRR1783204_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
9,SRR2407778,SRR2407778_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
10,SRR2407788,SRR2407788_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
11,SRR2407789,SRR2407789_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
12,SRR3295704,SRR3295704_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
13,SRR3295946,SRR3295946_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
14,SRR3932901,SRR3932901_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
15,SRR3932904,SRR3932904_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
16,SRR3933042,SRR3933042_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
17,SRR4280570,SRR4280570_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
18,SRR4280571,SRR4280571_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
19,SRR4280630,SRR4280630_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
20,SRR1185790,SRR1185790_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
21,SRR1556071,SRR1556071_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
22,SRR1556097,SRR1556097_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
23,SRR1619553,SRR1619553_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
24,SRR2407698,SRR2407698_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
25,SRR3295573,SRR3295573_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
26,SRR3295574,SRR3295574_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
27,SRR3295803,SRR3295803_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
28,SRR3295847,SRR3295847_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
29,SRR2407777,SRR2407777_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
30,SRR2533440,SRR2533440_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
31,SRR3295854,SRR3295854_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
32,SRR1637052,SRR1637052_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
33,SRR1637072,SRR1637072_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
34,SRR2407542,SRR2407542_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
35,SRR2407600,SRR2407600_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
36,SRR2407601,SRR2407601_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
37,SRR2407610,SRR2407610_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
38,SRR2407669,SRR2407669_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
39,SRR3295527,SRR3295527_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
40,SRR3295637,SRR3295637_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
41,SRR3295642,SRR3295642_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
42,SRR3295652,SRR3295652_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
43,SRR3295653,SRR3295653_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
44,SRR3295658,SRR3295658_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
45,SRR3295666,SRR3295666_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
46,SRR3295667,SRR3295667_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
47,SRR3295689,SRR3295689_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
48,SRR3295750,SRR3295750_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
49,SRR3295802,SRR3295802_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
50,SRR3295910,SRR3295910_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
51,SRR3295926,SRR3295926_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
52,SRR3295934,SRR3295934_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
53,SRR3295945,SRR3295945_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
54,SRR3932930,SRR3932930_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
55,SRR3933030,SRR3933030_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
56,SRR3933036,SRR3933036_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
57,SRR3933071,SRR3933071_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
58,SRR1752833,SRR1752833_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
59,SRR2407787,SRR2407787_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
60,SRR2407795,SRR2407795_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
61,SRR3295599,SRR3295599_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
62,SRR3932939,SRR3932939_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
63,SRR2407540,SRR2407540_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
64,SRR3295659,SRR3295659_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
65,SRR3295681,SRR3295681_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
66,SRR3295870,SRR3295870_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
67,SRR3295953,SRR3295953_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
68,SRR1106609,SRR1106609_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
69,SRR1122600,SRR1122600_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
70,SRR1272497,SRR1272497_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
71,SRR1300672,SRR1300672_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
72,SRR1544237,SRR1544237_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
73,SRR1553749,SRR1553749_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
74,SRR1562599,SRR1562599_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
75,SRR1562600,SRR1562600_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
76,SRR1813455,SRR1813455_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
77,SRR2407565,SRR2407565_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
78,SRR3295831,SRR3295831_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
79,SRR3295878,SRR3295878_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
80,SRR3932886,SRR3932886_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
81,SRR3933068,SRR3933068_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
82,SRR1203019,SRR1203019_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
83,SRR1220706,SRR1220706_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
84,SRR1257300,SRR1257300_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
85,SRR1257307,SRR1257307_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
86,SRR1514721,SRR1514721_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
87,SRR1514724,SRR1514724_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
88,SRR1514768,SRR1514768_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
89,SRR1525269,SRR1525269_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
90,SRR1060582,SRR1060582_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
91,SRR1122619,SRR1122619_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
92,SRR1122635,SRR1122635_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
93,SRR1122659,SRR1122659_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
94,SRR1181566,SRR1181566_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
95,SRR1200748,SRR1200748_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
96,SRR1200761,SRR1200761_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
97,SRR1202997,SRR1202997_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
98,SRR1203044,SRR1203044_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
99,SRR1220721,SRR1220721_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
100,SRR1299364,SRR1299364_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
101,SRR1300595,SRR1300595_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
102,SRR1300663,SRR1300663_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
103,SRR1300722,SRR1300722_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
104,SRR1514746,SRR1514746_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
105,SRR1544208,SRR1544208_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
106,SRR1544246,SRR1544246_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
107,SRR1544295,SRR1544295_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
108,SRR1544433,SRR1544433_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
109,SRR1556103,SRR1556103_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
110,SRR1574320,SRR1574320_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
111,SRR1598889,SRR1598889_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
112,SRR1636987,SRR1636987_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
113,SRR1783171,SRR1783171_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
114,SRR1805574,SRR1805574_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
115,SRR1805653,SRR1805653_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
116,SRR1813446,SRR1813446_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
117,SRR1946938,SRR1946938_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
118,SRR1951843,SRR1951843_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
119,SRR2070987,SRR2070987_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
120,SRR2407532,SRR2407532_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
121,SRR2407533,SRR2407533_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
122,SRR2407534,SRR2407534_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
123,SRR2407535,SRR2407535_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
124,SRR2407536,SRR2407536_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
125,SRR2407537,SRR2407537_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
126,SRR2407538,SRR2407538_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
127,SRR2407539,SRR2407539_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
128,SRR2407541,SRR2407541_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
129,SRR2407543,SRR2407543_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
130,SRR2407544,SRR2407544_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
131,SRR2407545,SRR2407545_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
132,SRR2407546,SRR2407546_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
133,SRR2407547,SRR2407547_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
134,SRR2407548,SRR2407548_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
135,SRR2407549,SRR2407549_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
136,SRR2407550,SRR2407550_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
137,SRR2407551,SRR2407551_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
138,SRR2407552,SRR2407552_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
139,SRR2407553,SRR2407553_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
140,SRR2407554,SRR2407554_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
141,SRR2407555,SRR2407555_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
142,SRR2407556,SRR2407556_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
143,SRR2407557,SRR2407557_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
144,SRR2407558,SRR2407558_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
145,SRR2407559,SRR2407559_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
146,SRR2407560,SRR2407560_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
147,SRR2407561,SRR2407561_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
148,SRR2407562,SRR2407562_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
149,SRR2407563,SRR2407563_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
150,SRR2407564,SRR2407564_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
151,SRR2407566,SRR2407566_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
152,SRR2407567,SRR2407567_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
153,SRR2407568,SRR2407568_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
154,SRR2407569,SRR2407569_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
155,SRR2407570,SRR2407570_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
156,SRR2407571,SRR2407571_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
157,SRR2407572,SRR2407572_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
158,SRR2407573,SRR2407573_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
159,SRR2407574,SRR2407574_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
160,SRR2407575,SRR2407575_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
161,SRR2407576,SRR2407576_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
162,SRR2407577,SRR2407577_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
163,SRR2407578,SRR2407578_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
164,SRR2407579,SRR2407579_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
165,SRR2407580,SRR2407580_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
166,SRR2407581,SRR2407581_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
167,SRR2407582,SRR2407582_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
168,SRR2407583,SRR2407583_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
169,SRR2407584,SRR2407584_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
170,SRR2407585,SRR2407585_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
171,SRR2407586,SRR2407586_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
172,SRR2407587,SRR2407587_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
173,SRR2407588,SRR2407588_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
174,SRR2407589,SRR2407589_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
175,SRR2407590,SRR2407590_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
176,SRR2407591,SRR2407591_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
177,SRR2407592,SRR2407592_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
178,SRR2407593,SRR2407593_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
179,SRR2407594,SRR2407594_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
180,SRR2407595,SRR2407595_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
181,SRR2407596,SRR2407596_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
182,SRR2407597,SRR2407597_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
183,SRR2407598,SRR2407598_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
184,SRR2407599,SRR2407599_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
185,SRR2407602,SRR2407602_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
186,SRR2407603,SRR2407603_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
187,SRR2407604,SRR2407604_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
188,SRR2407605,SRR2407605_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
189,SRR2407606,SRR2407606_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
190,SRR2407607,SRR2407607_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
191,SRR2407608,SRR2407608_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
192,SRR2407609,SRR2407609_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
193,SRR2407611,SRR2407611_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
194,SRR2407612,SRR2407612_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
195,SRR2407613,SRR2407613_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
196,SRR2407614,SRR2407614_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
197,SRR2407615,SRR2407615_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
198,SRR2407616,SRR2407616_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
199,SRR2407617,SRR2407617_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
200,SRR2407618,SRR2407618_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
201,SRR2407619,SRR2407619_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
202,SRR2407620,SRR2407620_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
203,SRR2407622,SRR2407622_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
