# Document with the sample ids and the antimicrobials that have been tested with
sample_ID,ampicillin,cefoxitin,chloramphenicol,ciprofloxacin,gentamicin,nalidixic acid,tetracycline
SRR3933039,MIC: 32.0,MIC: 16.0,MIC: 2.0,MIC: 0.03,MIC: 16.0,MIC: 1.0,MIC: 4.0
SRR3295834,MIC: 2.0,MIC: 16.0,MIC: 16.0,MIC: 1.0,MIC: 1.0,MIC: 32.0,MIC: 4.0
SRR1783160,MIC: 32.0,MIC: 4.0,MIC: 4.0,MIC: 0.015,MIC: 4.0,MIC: 4.0,MIC: 32.0
SRR2407621,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 8.0,MIC: 2.0,MIC: 32.0
SRR2407719,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 2.0,MIC: 32.0
SRR3295933,MIC: 32.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR3932982,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR3932995,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 2.0,MIC: 32.0
SRR1783204,MIC: 4.0,MIC: 2.0,MIC: 32.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 32.0
SRR2407778,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 8.0,MIC: 4.0,MIC: 4.0
SRR2407788,MIC: 32.0,MIC: 4.0,MIC: 8.0,MIC: 0.03,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR2407789,MIC: 32.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR3295704,MIC: 32.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR3295946,MIC: 32.0,MIC: 8.0,MIC: 32.0,MIC: 0.03,MIC: 0.5,MIC: 4.0,MIC: 32.0
SRR3932901,MIC: 32.0,MIC: 4.0,MIC: 8.0,MIC: 0.03,MIC: 1.0,MIC: 4.0,MIC: 4.0
SRR3932904,MIC: 32.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR3933042,MIC: 32.0,MIC: 4.0,MIC: 8.0,MIC: 0.03,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR4280570,MIC: 32.0,MIC: 4.0,MIC: 8.0,MIC: 0.03,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR4280571,MIC: 32.0,MIC: 4.0,MIC: 8.0,MIC: 0.03,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR4280630,MIC: 32.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR1185790,MIC: 4.0,MIC: 16.0,MIC: 8.0,MIC: 0.06,MIC: 0.25,MIC: 16.0,MIC: 4.0
SRR1556071,MIC: 32.0,MIC: 16.0,MIC: 16.0,MIC: 0.06,MIC: 0.5,MIC: 8.0,MIC: 32.0
SRR1556097,MIC: 32.0,MIC: 16.0,MIC: 16.0,MIC: 0.03,MIC: 2.0,MIC: 8.0,MIC: 32.0
SRR1619553,MIC: 4.0,MIC: 16.0,MIC: 16.0,MIC: 0.03,MIC: 2.0,MIC: 8.0,MIC: 32.0
SRR2407698,MIC: 2.0,MIC: 16.0,MIC: 4.0,MIC: 0.03,MIC: 0.5,MIC: 4.0,MIC: 4.0
SRR3295573,MIC: 4.0,MIC: 16.0,MIC: 16.0,MIC: 0.06,MIC: 0.5,MIC: 8.0,MIC: 4.0
SRR3295574,MIC: 4.0,MIC: 16.0,MIC: 16.0,MIC: 0.06,MIC: 0.5,MIC: 8.0,MIC: 4.0
SRR3295803,MIC: 4.0,MIC: 16.0,MIC: 16.0,MIC: 0.03,MIC: 0.5,MIC: 4.0,MIC: 32.0
SRR3295847,MIC: 2.0,MIC: 16.0,MIC: 16.0,MIC: 0.03,MIC: 1.0,MIC: 8.0,MIC: 32.0
SRR2407777,MIC: 32.0,MIC: 4.0,MIC: 16.0,MIC: 0.03,MIC: 0.25,MIC: 8.0,MIC: 32.0
SRR2533440,MIC: 1.0,MIC: 2.0,MIC: 32.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 4.0
SRR3295854,MIC: 1.0,MIC: 4.0,MIC: 32.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 4.0
SRR1637052,MIC: 2.0,MIC: 8.0,MIC: 8.0,MIC: 0.015,MIC: 2.0,MIC: 4.0,MIC: 4.0
SRR1637072,MIC: 2.0,MIC: 8.0,MIC: 8.0,MIC: 0.015,MIC: 2.0,MIC: 4.0,MIC: 4.0
SRR2407542,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 1.0,MIC: 4.0,MIC: 4.0
SRR2407600,MIC: 1.0,MIC: 1.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR2407601,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR2407610,MIC: 1.0,MIC: 4.0,MIC: 4.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR2407669,MIC: 32.0,MIC: 32.0,MIC: 8.0,MIC: 0.03,MIC: 2.0,MIC: 2.0,MIC: 4.0
SRR3295527,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR3295637,MIC: 32.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 2.0,MIC: 32.0
SRR3295642,MIC: 32.0,MIC: 32.0,MIC: 32.0,MIC: 0.015,MIC: 16.0,MIC: 2.0,MIC: 32.0
SRR3295652,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR3295653,MIC: 1.0,MIC: 4.0,MIC: 4.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 32.0
SRR3295658,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR3295666,MIC: 32.0,MIC: 2.0,MIC: 8.0,MIC: 0.03,MIC: 0.5,MIC: 4.0,MIC: 32.0
SRR3295667,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 32.0
