sample_ID	reads_ID	Source	Origin	Microorganism	country	clindamycin	erythromycin	linezolid	vancomycin	cefepime	cefotaxime	ceftazidime	ertapenem	imipenem	meropenem	tigecycline	colistin	sulfamethoxazole	trimethoprim
SRR3933039	SRR3933039_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3295834	SRR3295834_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1783160	SRR1783160_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407621	SRR2407621_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407719	SRR2407719_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3295933	SRR3295933_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3932982	SRR3932982_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3932995	SRR3932995_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1783204	SRR1783204_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407778	SRR2407778_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407788	SRR2407788_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407789	SRR2407789_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3295704	SRR3295704_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3295946	SRR3295946_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3932901	SRR3932901_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3932904	SRR3932904_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3933042	SRR3933042_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR4280570	SRR4280570_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR4280571	SRR4280571_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR4280630	SRR4280630_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1185790	SRR1185790_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1556071	SRR1556071_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1556097	SRR1556097_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1619553	SRR1619553_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407698	SRR2407698_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3295573	SRR3295573_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3295574	SRR3295574_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3295803	SRR3295803_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3295847	SRR3295847_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407777	SRR2407777_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2533440	SRR2533440_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3295854	SRR3295854_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1637052	SRR1637052_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
