# Document with the sample ids and the antimicrobials that genes/mutations that confeer resistance to have been detected in the sample
## Confidential
reads_ID,ampicillin,cefoxitin,chloramphenicol,ciprofloxacin,gentamicin,nalidixic acid,tetracycline
SRR3933039_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR3295834_1.trim.fq.gz,None,None,None,"qnrB19 (qnrB19_EU432277), qnrB82 (qnrB82_KX372672)",None,None,None
SRR1783160_1.trim.fq.gz,blaTEM-1A (blaTEM-1A_HM749966),None,None,aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918),None,None,tet(B) (tet(B)_AF326777)
SRR2407621_1.trim.fq.gz,None,None,None,aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918),None,None,tet(B) (tet(B)_AP000342)
SRR2407719_1.trim.fq.gz,None,None,None,"aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918), aac(6')-Ib-cr (aac(6')-Ib-cr_EF636461)",None,None,tet(B) (tet(B)_AP000342)
SRR3295933_1.trim.fq.gz,"blaTEM-1B (blaTEM-1B_AY458016), blaTEM-76 (blaTEM-76_AF190694), blaTEM-186 (blaTEM-186_JN227084)",None,None,aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918),None,None,None
SRR3932982_1.trim.fq.gz,None,None,None,aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918),None,None,None
SRR3932995_1.trim.fq.gz,None,None,None,aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918),None,None,tet(B) (tet(B)_AP000342)
SRR1783204_1.trim.fq.gz,blaCARB-2 (blaCARB-2_M69058),None,floR (floR_AF118107),None,None,None,tet(G) (tet(G)_AF133140)
SRR2407778_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR2407788_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR2407789_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR3295704_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR3295946_1.trim.fq.gz,None,None,floR (floR_AF118107),None,None,None,tet(A) (tet(A)_AF534183)
SRR3932901_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3932904_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR3933042_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR4280570_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR4280571_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR4280630_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR1185790_1.trim.fq.gz,None,None,None,None,None,None,None
